VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,E.V_Type,Electric Range,Base MSRP,Vehicle Location
KNDCE3LG4K,Snohomish,Lynnwood,WA,98037.0,2019,KIA,NIRO,BEV,239.0,0.0,POINT (-122.283973 47.838697)
1G1FX6S06H,Thurston,Olympia,WA,98501.0,2017,CHEVROLET,BOLT EV,BEV,238.0,0.0,POINT (-122.8733203 47.0133209)
5LMTJ5DZ8N,Chelan,Wenatchee,WA,98801.0,2022,LINCOLN,CORSAIR,PHEV,28.0,0.0,POINT (-120.3283376 47.4280056)
YV4H60CK3P,Snohomish,Lake Stevens,WA,98258.0,2023,VOLVO,XC90,PHEV,32.0,0.0,POINT (-122.0816912 48.0122934)
5YJSA1E45H,Skagit,Mount Vernon,WA,98274.0,2017,TESLA,MODEL S,BEV,210.0,0.0,POINT (-122.2881784 48.4128748)
7SAYGDEE4N,Snohomish,Bothell,WA,98072.0,2022,TESLA,MODEL Y,BEV,0.0,0.0,POINT (-122.1368031 47.7621254)
5UX43EU06R,Douglas,Orondo,WA,98843.0,2024,BMW,X5,PHEV,39.0,0.0,POINT (-120.1436679 47.7713817)
1FTVW1EL1N,Yakima,Selah,WA,98942.0,2022,FORD,F-150,BEV,0.0,0.0,POINT (-120.5517376 46.6678647)
1N4AZ0CP9E,Chelan,Leavenworth,WA,98826.0,2014,NISSAN,LEAF,BEV,84.0,0.0,POINT (-120.6860209 47.7095564)
5YJ3E1EB0P,Thurston,Olympia,WA,98506.0,2023,TESLA,MODEL 3,BEV,0.0,0.0,POINT (-122.86491 47.07503)
7SAYGAEE4P,King,Renton,WA,98055.0,2023,TESLA,MODEL Y,BEV,0.0,0.0,POINT (-122.2003346 47.4487206)
7SAYGAEE1P,King,Sammamish,WA,98075.0,2023,TESLA,MODEL Y,BEV,0.0,0.0,POINT (-122.0181135 47.5880568)
5YJXCAE2XJ,King,Kirkland,WA,98034.0,2018,TESLA,MODEL X,BEV,238.0,0.0,POINT (-122.2026532 47.7210518)
